iGalID,iGrID,Name,RAJ2000_gal,DEJ2000_gal,z_gal,logMstar_gal,RAJ2000_group,DEJ2000_group,z_group,logLtot,logLobs,logMtot,logMstar_group,NMstar,logMdyn,sigma,Rad,angRad,DL,Ntot
446,6,    12232794+4659379,185.86642456,46.99382019,0.0032524999999999997,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
336,6,    12060116+4728420,181.50483704,47.47835922,0.0025441999999999995,9.37998,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
427,6,    12161173+4753000,184.04887390000002,47.88336945,0.0037321999999999998,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
1364,6,    12413284+4109027,190.38685608,41.15079117,0.0025302,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
16431,6,    12154624+4807531,183.94274902,48.13143158,0.0031079999999999997,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
21340,6,    11562877+5025422,179.11993408,50.42844009,0.0036874000000000004,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
226,6,    11592518+5057420,179.85494995,50.961689,0.0037393,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
38137,6,    12001901+5039101,180.07920837,50.6528511,0.0031138000000000003,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
1287,6,    11504548+5149271,177.68952942,51.82421112,0.0038459,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
371,6,    12060860+4934563,181.5358429,49.58230972,0.004239,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
1456,6,    12052270+5021098,181.34455872,50.35279083,0.0031320000000000002,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
15380,6,    11455663+5011596,176.48596191,50.19989014,0.0031406,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
198,6,    12053418+5032205,181.39245605,50.53902817,0.0031652,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
2385,6,    11583799+4715407,179.65832519999998,47.26131821,0.0037646999999999997,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
338,6,    11483820+4842388,177.15913391,48.71081924,0.0039094,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
13098,6,    11511340+5200032,177.80596924,52.00086975,0.0036323,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
126,6,    11534902+5219355,178.45428467,52.3265419,0.0041252,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
112,6,    11573598+5322282,179.39993286,53.37451935,0.0040904,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
7,6,    12505314+4107125,192.72145081,41.12015152,0.0017649999999999999,11.38444,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
9116,6,    12174990+4724329,184.45791626,47.40917969,0.0022975,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
1676,6,    12253509+4541048,186.39625549,45.68466187,0.0030981,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
242,6,    12155089+4705304,183.96208191,47.09178925,0.0041161999999999995,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
5095,6,    11511346+5009242,177.80603027,50.15679932,0.0037589,,179.39993286,53.37451935,0.0032183,11.98882,11.9855,13.723329999999999,11.50756,6,11.655999999999999,215.7301,1395.5291,6.0460080000000005,13.2607,43
